hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
boeblingen,0,3,3.574910,0.982240,bellman,1.000000,0,0.000000
boeblingen,1,3,4.345390,0.965100,bellman,1.000000,0,0.000000
boeblingen,2,3,4.025790,0.975170,bellman,1.000000,1,0.000000
boeblingen,3,3,4.415420,0.960210,bellman,1.000000,2,0.000000
boeblingen,4,3,4.614990,0.943140,bellman,1.000000,3,0.000000
boeblingen,5,3,4.826050,0.944710,bellman,1.000000,4,0.000000
boeblingen,6,3,4.257150,0.971100,bellman,1.000000,0,0.000000
boeblingen,7,3,4.741810,0.974740,bellman,1.000000,5,0.000000
boeblingen,8,3,4.794080,0.973060,bellman,1.000000,6,0.000000
boeblingen,9,3,4.988360,0.976660,bellman,1.000000,3,0.000000
boeblingen,10,3,5.144890,0.970790,bellman,1.000000,0,0.000000
boeblingen,11,3,4.784000,0.946450,bellman,1.000000,4,0.000000
boeblingen,12,3,5.167380,0.959370,bellman,1.000000,6,0.000000
boeblingen,13,3,5.537960,0.963320,bellman,1.000000,0,0.000000
boeblingen,14,3,4.980870,0.963300,bellman,1.000000,5,0.000000
boeblingen,15,3,5.477470,0.963750,bellman,1.000000,5,0.000000
boeblingen,16,3,5.159450,0.971010,bellman,1.000000,0,0.000000
boeblingen,17,3,5.536270,0.977250,bellman,1.000000,7,0.000000
boeblingen,18,3,5.641110,0.976120,bellman,1.000000,8,0.000000
boeblingen,19,3,5.779910,0.973510,bellman,1.000000,0,0.000000
boeblingen,20,3,5.693370,0.963060,bellman,1.000000,1,0.000000
boeblingen,21,3,5.958590,0.962870,bellman,1.000000,9,0.000000
boeblingen,22,3,5.627240,0.964410,bellman,1.000000,4,0.000000
boeblingen,23,3,6.128340,0.953020,bellman,1.000000,1,0.000000
boeblingen,24,3,5.738520,0.971710,bellman,1.000000,0,0.000000
boeblingen,25,3,6.143450,0.964130,bellman,1.000000,10,0.000000
boeblingen,26,3,6.351250,0.967140,bellman,1.000000,9,0.000000
boeblingen,27,3,6.483980,0.953890,bellman,1.000000,5,0.000000
boeblingen,28,3,5.918750,0.966440,bellman,1.000000,1,0.000000
boeblingen,29,3,6.450590,0.965580,bellman,1.000000,1,0.000000
boeblingen,30,3,6.530770,0.963050,bellman,1.000000,10,0.000000
boeblingen,31,3,6.704810,0.961510,bellman,1.000000,11,0.000000
boeblingen,32,3,6.881020,0.959610,bellman,1.000000,0,0.000000
boeblingen,33,3,6.582200,0.968450,bellman,1.000000,1,0.000000
boeblingen,34,3,6.810510,0.958070,bellman,1.000000,5,0.000000
boeblingen,35,3,6.981710,0.958650,bellman,1.000000,0,0.000000
bogota,0,3,3.891590,0.970700,bellman,1.000000,5,0.000000
bogota,1,3,4.146440,0.915130,bellman,1.000000,0,0.000000
bogota,2,3,4.428180,0.913290,bellman,1.000000,4,0.000000
cambridge,0,3,3.516520,0.944460,bellman,1.000000,4,0.000000
cambridge,1,3,3.859860,0.941140,bellman,1.000000,6,0.000000
cambridge,2,3,4.622960,0.947570,bellman,1.000000,0,0.000000
cambridge,3,3,3.695060,0.957350,bellman,1.000000,5,0.000000
cambridge,4,3,3.956760,0.954770,bellman,1.000000,1,0.000000
cambridge,5,3,4.257060,0.950680,bellman,1.000000,5,0.000000
cambridge,6,3,5.251930,0.939360,bellman,1.000000,1,0.000000
cambridge,7,3,4.924030,0.946010,bellman,1.000000,11,0.000000
cambridge,8,3,5.070890,0.942830,bellman,1.000000,1,0.000000
cambridge,9,3,5.626540,0.948540,bellman,1.000000,9,0.000000
cambridge,10,3,5.789380,0.933140,bellman,1.000000,5,0.000000
cambridge,11,3,4.932760,0.948260,bellman,1.000000,0,0.000000
cambridge,12,3,5.819630,0.953770,bellman,1.000000,7,0.000000
cambridge,13,3,6.643810,0.932540,bellman,1.000000,0,0.000000
cambridge,14,3,5.144720,0.942530,bellman,1.000000,1,0.000000
cambridge,15,3,5.196210,0.197210,bellman,1.000000,1,0.000000
cambridge,16,3,5.552090,0.196600,bellman,1.000000,5,0.000000
cambridge,17,3,6.208870,0.196890,bellman,1.000000,5,0.000000
cambridge,18,3,5.897050,0.948880,bellman,1.000000,5,0.000000
cambridge,19,3,6.427830,0.929420,bellman,1.000000,7,0.000000
cambridge,20,3,7.529620,0.932360,bellman,1.000000,1,0.000000
cambridge,21,3,6.116880,0.955470,bellman,1.000000,0,0.000000
cambridge,22,3,6.205240,0.197280,bellman,1.000000,1,0.000000
